,Team,G_x,Date,Opp,W/L_x,Tm_x,Opp.1_x,ORtg_x,Pace_x,TOV%_x,ORB%_x,FT/FGA_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,ORB_x,TRB_x,TOV_x,PF_x,OppDefRtg
135,CHI,5,2019-10-30,CLE,L,111,117,116.9,95.0,5.7,19.6,0.21100000000000002,39,90,0.433,14,39,0.359,9,32,6,24,116.9
136,CHI,6,2019-11-01,DET,W,112,106,110.9,101.0,14.6,22.9,0.20199999999999999,39,89,0.43799999999999994,16,40,0.4,11,42,17,18,110.9
137,CHI,7,2019-11-03,IND,L,95,108,92.0,103.2,15.9,13.3,0.16699999999999998,36,84,0.429,9,29,0.31,6,42,18,21,92.0
138,CHI,8,2019-11-05,LAL,L,112,118,108.3,103.4,14.4,15.9,0.141,43,85,0.506,14,32,0.43799999999999994,7,42,16,21,108.3
139,CHI,9,2019-11-06,ATL,W,113,93,108.8,103.9,15.3,16.7,0.22,41,82,0.5,13,33,0.39399999999999996,7,43,17,30,108.8
140,CHI,10,2019-11-09,HOU,L,94,117,87.8,107.1,12.4,19.3,0.163,37,98,0.37799999999999995,4,32,0.125,11,46,15,22,87.8
141,CHI,11,2019-11-12,NYK,W,120,102,117.1,102.5,16.7,26.5,0.29600000000000004,41,81,0.506,14,33,0.424,9,46,19,25,117.1
142,CHI,12,2019-11-14,MIL,L,115,124,102.6,112.1,16.1,19.6,0.226,38,93,0.409,18,43,0.419,10,45,20,29,102.6
143,CHI,13,2019-11-16,BRK,L,111,117,103.1,107.7,14.8,32.7,0.418,32,91,0.35200000000000004,9,39,0.231,17,56,19,30,103.1
144,CHI,14,2019-11-18,MIL,L,101,115,99.0,102.0,11.9,24.5,0.113,39,97,0.402,12,34,0.353,13,50,14,25,99.0
145,CHI,15,2019-11-20,DET,W,109,89,109.1,99.9,12.0,26.1,0.187,39,91,0.429,14,27,0.519,12,55,14,24,109.1
146,CHI,16,2019-11-22,MIA,L,108,116,111.0,97.3,11.6,28.6,0.17800000000000002,41,90,0.456,10,30,0.33299999999999996,14,41,13,24,111.0
147,CHI,17,2019-11-23,CHO,W,116,115,119.5,97.1,11.5,28.3,0.084,43,95,0.45299999999999996,22,47,0.46799999999999997,13,39,13,20,119.5
148,CHI,18,2019-11-25,POR,L,94,117,93.5,100.5,15.2,16.0,0.151,36,86,0.419,9,39,0.231,8,37,17,20,93.5
149,CHI,19,2019-11-27,GSW,L,90,104,92.5,97.3,14.9,25.5,0.135,34,89,0.382,10,29,0.345,14,42,17,20,92.5
150,CHI,20,2019-11-29,POR,L,103,107,102.4,100.6,9.5,21.2,0.18100000000000002,36,94,0.38299999999999995,14,38,0.368,11,47,11,22,102.4
151,CHI,21,2019-12-02,SAC,W,113,106,114.1,99.1,17.0,8.8,0.33299999999999996,36,75,0.48,16,37,0.43200000000000005,3,32,18,20,114.1
152,CHI,22,2019-12-04,MEM,W,106,99,103.9,102.1,17.7,22.2,0.35100000000000003,33,77,0.429,13,33,0.39399999999999996,10,50,20,22,103.9
153,CHI,23,2019-12-06,GSW,L,98,100,106.4,92.1,13.4,23.3,0.034,39,88,0.44299999999999995,17,41,0.415,10,37,14,20,106.4
154,CHI,24,2019-12-08,MIA,L,105,110,106.2,89.6,13.2,15.4,0.275,35,80,0.43799999999999994,13,36,0.361,6,39,14,31,106.2
155,CHI,25,2019-12-09,TOR,L,92,93,93.6,98.3,12.8,18.4,0.11199999999999999,35,89,0.39299999999999996,12,46,0.261,9,45,14,20,93.6
156,CHI,26,2019-12-11,ATL,W,136,102,128.5,105.9,11.3,18.4,0.18100000000000002,54,94,0.574,11,24,0.45799999999999996,7,42,13,25,128.5
157,CHI,27,2019-12-13,CHO,L,73,83,76.9,94.9,11.1,18.3,0.133,27,90,0.3,7,34,0.20600000000000002,11,45,12,20,76.9
158,CHI,28,2019-12-14,LAC,W,109,106,110.6,98.5,15.5,27.3,0.17600000000000002,40,85,0.47100000000000003,14,31,0.452,12,50,17,25,110.6
159,CHI,29,2019-12-16,OKC,L,106,109,108.2,97.9,12.3,13.2,0.126,43,87,0.494,9,31,0.29,5,31,13,21,108.2
160,CHI,30,2019-12-18,WAS,W,110,109,102.8,96.9,12.2,21.2,0.21600000000000003,39,97,0.402,11,37,0.297,11,53,15,24,102.8
161,CHI,31,2019-12-21,DET,W,119,107,123.6,96.3,17.0,32.4,0.273,40,77,0.519,18,35,0.514,11,46,18,13,123.6
162,CHI,32,2019-12-23,ORL,L,95,103,98.2,96.8,13.7,21.6,0.136,35,88,0.39799999999999996,13,37,0.35100000000000003,11,47,15,17,98.2
163,CHI,33,2019-12-28,ATL,W,116,81,118.5,97.9,15.1,30.2,0.172,43,87,0.494,15,31,0.484,13,51,17,15,118.5
164,CHI,34,2019-12-30,MIL,L,102,123,100.3,101.7,8.3,22.2,0.047,40,107,0.374,17,44,0.386,14,43,10,20,100.3
165,CHI,35,2020-01-02,UTA,L,98,102,105.1,93.2,9.0,30.0,0.138,37,94,0.39399999999999996,11,36,0.306,15,45,10,15,105.1
166,CHI,36,2020-01-04,BOS,L,104,111,109.5,95.0,13.8,26.2,0.28800000000000003,34,80,0.425,13,34,0.382,11,37,15,22,109.5
167,CHI,37,2020-01-06,DAL,L,110,118,119.2,92.3,7.2,34.7,0.092,46,98,0.469,9,31,0.29,17,45,8,21,119.2
168,CHI,38,2020-01-08,NOP,L,108,123,107.8,100.2,10.6,20.8,0.13,41,92,0.446,14,35,0.4,10,39,12,23,107.8
169,CHI,39,2020-01-10,IND,L,105,116,111.9,93.8,14.7,13.6,0.163,37,80,0.46299999999999997,18,41,0.439,6,36,15,15,111.9
